features,accuracy,precision,recall,f1,method
1,0.7737796373779637,0.9543057996485061,0.5886178861788618,0.7281260476030842,mutualInformation
2,0.7737796373779637,0.9543057996485061,0.5886178861788618,0.7281260476030842,mutualInformation
3,0.8281729428172943,0.8800247371675943,0.7712737127371274,0.8220681686886193,mutualInformation
4,0.8348675034867503,0.8653061224489796,0.8043360433604336,0.8337078651685393,mutualInformation
5,0.8340306834030683,0.8815628815628815,0.7826558265582656,0.8291702555268446,mutualInformation
6,0.8365411436541144,0.8753726893261777,0.7956639566395663,0.8336172629187961,mutualInformation
7,0.8669456066945607,0.9217016029593095,0.8102981029810298,0.8624170752812229,mutualInformation
8,0.8744769874476988,0.8965321205230244,0.8547425474254743,0.8751387347391787,mutualInformation
9,0.8741980474198048,0.8955732122587968,0.8552845528455284,0.8749653451621846,mutualInformation
10,0.8747559274755927,0.8952434881087202,0.8569105691056911,0.8756577125450014,mutualInformation
11,0.8736401673640167,0.8927765237020316,0.8574525745257453,0.8747580868122754,mutualInformation
12,0.8764295676429568,0.8992027334851936,0.8558265582655826,0.8769786170508193,mutualInformation
13,0.8781032078103208,0.9009111617312073,0.8574525745257453,0.878644820883088,mutualInformation
14,0.8778242677824267,0.901312036508842,0.8563685636856369,0.8782657031684269,mutualInformation
15,0.8772663877266388,0.8984685195689166,0.8585365853658536,0.8780487804878049,mutualInformation
16,0.8783821478382148,0.9018824871648602,0.8569105691056911,0.8788215675375208,mutualInformation
17,0.8764295676429568,0.8996579247434435,0.8552845528455284,0.8769102528480134,mutualInformation
18,0.8778242677824267,0.9008547008547009,0.8569105691056911,0.8783333333333333,mutualInformation
19,0.8789400278940028,0.9006246450880182,0.8596205962059621,0.8796450360510261,mutualInformation
20,0.8786610878661087,0.9014806378132119,0.8579945799457994,0.879200222160511,mutualInformation
21,0.8775453277545328,0.8989784335981839,0.8585365853658536,0.8782922095924591,mutualInformation
22,0.8786610878661087,0.9019384264538198,0.8574525745257453,0.8791330925257016,mutualInformation
23,0.8789400278940028,0.9015367103016505,0.8585365853658536,0.8795113825652415,mutualInformation
24,0.8870292887029289,0.9285714285714286,0.8455284552845529,0.8851063829787233,mutualInformation
25,0.8861924686192468,0.9330922242314648,0.8390243902439024,0.8835616438356164,mutualInformation
26,0.891213389121339,0.9281930547380812,0.8547425474254743,0.8899548532731377,mutualInformation
27,0.8928870292887029,0.9264448336252189,0.8601626016260162,0.8920741989881956,mutualInformation
28,0.8987447698744769,0.9343493552168816,0.8639566395663957,0.8977752745705435,mutualInformation
29,0.895955369595537,0.9299065420560748,0.8628726287262872,0.8951363508574641,mutualInformation
30,0.899302649930265,0.9364705882352942,0.8628726287262872,0.8981664315937941,mutualInformation
31,0.8967921896792189,0.9325513196480938,0.8617886178861789,0.895774647887324,mutualInformation
32,0.897071129707113,0.9300699300699301,0.865040650406504,0.8963774220724515,mutualInformation
33,0.899023709902371,0.9333722969023963,0.8655826558265582,0.8982002249718786,mutualInformation
34,0.899860529986053,0.9355216881594373,0.865040650406504,0.8989017178259645,mutualInformation
35,0.901255230125523,0.9352014010507881,0.8682926829268293,0.9005059021922428,mutualInformation
36,0.901534170153417,0.9362573099415205,0.867750677506775,0.9007032348804501,mutualInformation
37,0.902928870292887,0.9374634716540035,0.8693766937669377,0.9021372328458943,mutualInformation
38,0.9026499302649931,0.9288990825688074,0.8780487804878049,0.9027584285316244,mutualInformation
39,0.9046025104602511,0.9326424870466321,0.8780487804878049,0.9045226130653267,mutualInformation
40,0.9046025104602511,0.9321449108683151,0.8785907859078591,0.9045758928571429,mutualInformation
41,0.903207810320781,0.9304597701149425,0.8775067750677507,0.903207810320781,mutualInformation
42,0.904323570432357,0.9321058688147296,0.8780487804878049,0.9042701646664806,mutualInformation
43,0.900976290097629,0.9296424452133795,0.8737127371273713,0.9008102822017323,mutualInformation
44,0.9065550906555091,0.9349078341013825,0.8796747967479674,0.9064507120915946,mutualInformation
45,0.905160390516039,0.9332181922855498,0.8785907859078591,0.9050809603573423,mutualInformation
46,0.9057182705718271,0.9347951529140219,0.8780487804878049,0.9055338177752935,mutualInformation
47,0.9057182705718271,0.9332949971247844,0.8796747967479674,0.9056919642857143,mutualInformation
48,0.904044630404463,0.9310740953475014,0.8785907859078591,0.9040713887339654,mutualInformation
49,0.903207810320781,0.9299655568312285,0.8780487804878049,0.9032617786451074,mutualInformation
50,0.9076708507670851,0.9355581127733027,0.8813008130081301,0.9076193134245046,mutualInformation
1,0.7801952580195258,0.7280966767371602,0.9143631436314363,0.8106679481018741,selectRandom
2,0.7737796373779637,0.9543057996485061,0.5886178861788618,0.7281260476030842,selectRandom
3,0.8281729428172943,0.8800247371675943,0.7712737127371274,0.8220681686886193,selectRandom
4,0.8691771269177127,0.8706896551724138,0.8758807588075881,0.8732774925695758,selectRandom
5,0.8750348675034868,0.898005698005698,0.8542005420054201,0.8755555555555555,selectRandom
6,0.8747559274755927,0.8984018264840182,0.8531165311653116,0.8751737559077009,selectRandom
7,0.8736401673640167,0.8954545454545455,0.8542005420054201,0.8743411927877948,selectRandom
8,0.8750348675034868,0.8953027730616865,0.8574525745257453,0.875968992248062,selectRandom
9,0.8741980474198048,0.8942307692307693,0.8569105691056911,0.8751729864378632,selectRandom
10,0.8744769874476988,0.8951841359773371,0.8563685636856369,0.8753462603878116,selectRandom
11,0.8728033472803347,0.911190053285968,0.8341463414634146,0.8709677419354839,selectRandom
12,0.8716875871687587,0.8901408450704226,0.8563685636856369,0.8729281767955801,selectRandom
13,0.8806136680613668,0.8982574480044969,0.8661246612466125,0.8818984547461368,selectRandom
14,0.8836820083682009,0.9002242152466368,0.870460704607046,0.8850923119316616,selectRandom
15,0.8839609483960948,0.9034443817052513,0.8672086720867209,0.8849557522123894,selectRandom
16,0.8861924686192468,0.9061616732617298,0.8688346883468835,0.8871057000553404,selectRandom
17,0.8917712691771269,0.9287816362566216,0.8552845528455284,0.8905191873589164,selectRandom
18,0.8909344490934449,0.928150765606596,0.8542005420054201,0.8896415467118262,selectRandom
19,0.893444909344491,0.926033779848573,0.8617886178861789,0.892756878158338,selectRandom
20,0.895118549511855,0.9257971014492754,0.8655826558265582,0.8946778711484594,selectRandom
21,0.895397489539749,0.9273255813953488,0.8644986449864499,0.8948106591865358,selectRandom
22,0.898186889818689,0.9307334109429569,0.8666666666666667,0.8975582374403592,selectRandom
23,0.897071129707113,0.9290697674418604,0.8661246612466125,0.8964936886395511,selectRandom
