features,accuracy,precision,recall,f1,method
1,0.7941927249521379,0.7299599198396793,0.9321817018554063,0.8187693172239393,mutualInformation
2,0.8088704530950862,0.887459807073955,0.7063339731285988,0.7866049162807267,mutualInformation
3,0.8133375877472878,0.8693353474320241,0.7364043506078055,0.797367509525459,mutualInformation
4,0.8257817485641353,0.8558432470258922,0.782469609724888,0.8175133689839572,mutualInformation
5,0.8270580727504786,0.8572428271518544,0.7837492002559181,0.8188502673796791,mutualInformation
6,0.8618379068283344,0.8428398058252428,0.8886756238003839,0.8651510432886951,mutualInformation
7,0.8618379068283344,0.8428398058252428,0.8886756238003839,0.8651510432886951,mutualInformation
8,0.8608806636885769,0.8438071995118975,0.8848368522072937,0.8638351030605871,mutualInformation
9,0.8685386088066369,0.8452309538092382,0.9014715291106846,0.8724458204334365,mutualInformation
10,0.8637523931078493,0.8493234932349324,0.8835572616762636,0.8661022264032612,mutualInformation
11,0.8704530950861519,0.8649842271293375,0.8771593090211133,0.8710292249047014,mutualInformation
12,0.8691767708998086,0.8651044965167828,0.8739603326935381,0.8695098663271802,mutualInformation
13,0.8710912571793236,0.8688733290897518,0.8733205374280231,0.8710912571793236,mutualInformation
14,0.8733248245054244,0.8685208596713021,0.8790786948176583,0.8737678855325914,mutualInformation
15,0.8749202297383536,0.8712745719720989,0.8790786948176583,0.8751592356687898,mutualInformation
16,0.8746011486917677,0.870722433460076,0.8790786948176583,0.874880611270296,mutualInformation
17,0.8742820676451819,0.8720560152768937,0.8765195137555982,0.8742820676451819,mutualInformation
18,0.8752393107849393,0.8708860759493671,0.8803582853486884,0.8755965637925549,mutualInformation
19,0.8736439055520102,0.8733205374280231,0.8733205374280231,0.8733205374280231,mutualInformation
20,0.8768347160178686,0.8712933753943217,0.8835572616762636,0.8773824650571792,mutualInformation
21,0.8726866624122527,0.8711734693877551,0.8739603326935381,0.8725646758224209,mutualInformation
22,0.8803446075303127,0.8788265306122449,0.8816378758797185,0.880229958479719,mutualInformation
23,0.8781110402042118,0.8744451490171211,0.8822776711452335,0.878343949044586,mutualInformation
24,0.8806636885768986,0.8746061751732829,0.8880358285348688,0.8812698412698413,mutualInformation
25,0.8800255264837269,0.8753953194180898,0.8854766474728087,0.8804071246819338,mutualInformation
26,0.8781110402042118,0.8763543658381134,0.8797184900831734,0.8780332056194126,mutualInformation
27,0.8768347160178686,0.8799225306649451,0.872040946896993,0.8759640102827764,mutualInformation
28,0.8867262284620293,0.8968462549277266,0.8733205374280231,0.8849270664505673,mutualInformation
29,0.8864071474154436,0.8926480156148341,0.8777991042866283,0.8851612903225806,mutualInformation
30,0.8860880663688577,0.8956692913385826,0.8733205374280231,0.8843537414965986,mutualInformation
31,0.8905552010210593,0.8950777202072538,0.8841970569417786,0.8896041197296427,mutualInformation
32,0.8886407147415444,0.8998682476943346,0.8739603326935381,0.8867250892567349,mutualInformation
33,0.8908742820676452,0.899803536345776,0.8790786948176583,0.8893203883495145,mutualInformation
34,0.8940650925335035,0.9009771986970684,0.8848368522072937,0.8928340865074241,mutualInformation
35,0.8908742820676452,0.9008535784635587,0.8777991042866283,0.8891769280622165,mutualInformation
36,0.8982131461391193,0.9070680628272252,0.8867562380038387,0.896797153024911,mutualInformation
37,0.9004467134652202,0.9069616135328562,0.891874600127959,0.8993548387096775,mutualInformation
38,0.8994894703254627,0.9073107049608355,0.889315419065899,0.8982229402261712,mutualInformation
39,0.8956604977664326,0.9033942558746736,0.8854766474728087,0.894345718901454,mutualInformation
