features,accuracy,precision,recall,f1,method
1,0.7941927249521379,0.7299599198396793,0.9321817018554063,0.8187693172239393,mutualInformation
2,0.8088704530950862,0.887459807073955,0.7063339731285988,0.7866049162807267,mutualInformation
3,0.8133375877472878,0.8693353474320241,0.7364043506078055,0.797367509525459,mutualInformation
4,0.8257817485641353,0.8558432470258922,0.782469609724888,0.8175133689839572,mutualInformation
5,0.8270580727504786,0.8572428271518544,0.7837492002559181,0.8188502673796791,mutualInformation
6,0.8618379068283344,0.8424242424242424,0.889315419065899,0.8652349828820417,mutualInformation
7,0.8621569878749202,0.8441874619598296,0.8873960332693538,0.8652526512788522,mutualInformation
8,0.8599234205488194,0.8431013431013431,0.8835572616762636,0.8628553577007185,mutualInformation
9,0.8675813656668794,0.8445378151260504,0.9001919385796545,0.8714772375348405,mutualInformation
10,0.8650287172941927,0.8496932515337423,0.8861164427383237,0.8675227059191982,mutualInformation
11,0.8694958519463943,0.8615288220551378,0.8797184900831734,0.8705286483064261,mutualInformation
12,0.8714103382259094,0.867553865652725,0.8758797184900832,0.871696911811525,mutualInformation
13,0.8726866624122527,0.8678887484197219,0.8784388995521433,0.8731319554848966,mutualInformation
14,0.8730057434588385,0.868437697659709,0.8784388995521433,0.8734096692111959,mutualInformation
15,0.8739629865985961,0.8719745222929937,0.8758797184900832,0.8739227577401851,mutualInformation
16,0.8733248245054244,0.8718112244897959,0.8746001279590531,0.8732034493771957,mutualInformation
17,0.8749202297383536,0.8726925525143221,0.8771593090211133,0.8749202297383536,mutualInformation
18,0.8765156349712827,0.8726235741444867,0.8809980806142035,0.8767908309455588,mutualInformation
19,0.8752393107849393,0.8699494949494949,0.8816378758797185,0.8757546870034953,mutualInformation
20,0.8736439055520102,0.8695376820772641,0.8784388995521433,0.8739656269891789,mutualInformation
21,0.8746011486917677,0.8735632183908046,0.8752399232245681,0.8744007670182167,mutualInformation
22,0.8803446075303127,0.8759493670886076,0.8854766474728087,0.8806872414890232,mutualInformation
23,0.8825781748564135,0.8760226557583386,0.8905950095969289,0.883248730964467,mutualInformation
24,0.8806636885768986,0.8760278304870335,0.8861164427383237,0.8810432569974554,mutualInformation
25,0.8793873643905552,0.8761904761904762,0.8829174664107485,0.8795411089866156,mutualInformation
26,0.8774728781110402,0.8805681084570691,0.872680742162508,0.8766066838046273,mutualInformation
27,0.8755583918315252,0.8781431334622823,0.8714011516314779,0.8747591522157996,mutualInformation
28,0.8864071474154436,0.8906148867313916,0.8803582853486884,0.8854568854568855,mutualInformation
29,0.8867262284620293,0.8896774193548387,0.8822776711452335,0.8859620944426598,mutualInformation
30,0.8851308232291002,0.8939096267190569,0.8733205374280231,0.883495145631068,mutualInformation
31,0.8905552010210593,0.8986928104575164,0.8797184900831734,0.8891044293566117,mutualInformation
32,0.8921506062539886,0.8990228013029316,0.8829174664107485,0.8908973531310523,mutualInformation
33,0.8943841735800894,0.9,0.8867562380038387,0.8933290364163713,mutualInformation
34,0.8962986598596043,0.9056356487549148,0.8841970569417786,0.8947879572677242,mutualInformation
35,0.8943841735800894,0.9010416666666666,0.8854766474728087,0.8931913520490481,mutualInformation
36,0.8978940650925336,0.9075409836065573,0.8854766474728087,0.8963730569948186,mutualInformation
37,0.898851308232291,0.9066579634464752,0.8886756238003839,0.8975767366720517,mutualInformation
38,0.8985322271857051,0.9050097592713078,0.889955214331414,0.8974193548387097,mutualInformation
39,0.8966177409061902,0.9035830618892509,0.8873960332693538,0.89541639767592,mutualInformation
