features,accuracy,precision,recall,f1,method
1,0.7941927249521379,0.7299599198396793,0.9321817018554063,0.8187693172239393,mutualInformation
2,0.7948308870453095,0.8846153846153846,0.6769033909149073,0.7669445451250453,mutualInformation
3,0.8133375877472878,0.8693353474320241,0.7364043506078055,0.797367509525459,mutualInformation
4,0.8257817485641353,0.8558432470258922,0.782469609724888,0.8175133689839572,mutualInformation
5,0.8273771537970644,0.8568435754189944,0.7850287907869482,0.8193656093489149,mutualInformation
6,0.8490746649649011,0.8339460784313726,0.8707613563659629,0.8519561815336463,mutualInformation
7,0.8618379068283344,0.8449328449328449,0.8854766474728087,0.8647297719462668,mutualInformation
8,0.8640714741544352,0.8577721837633732,0.872040946896993,0.8648477157360406,mutualInformation
9,0.8596043395022336,0.8551549652118912,0.8650031989763276,0.8600508905852418,mutualInformation
10,0.8650287172941927,0.8635204081632653,0.8662827895073576,0.864899393165123,mutualInformation
11,0.8688576898532228,0.8636363636363636,0.8752399232245681,0.8693994280266921,mutualInformation
12,0.8694958519463943,0.8638083228247163,0.8765195137555982,0.8701174976182915,mutualInformation
13,0.8704530950861519,0.8673015873015874,0.8739603326935381,0.8706182281708095,mutualInformation
14,0.8717294192724953,0.8676377454084864,0.8765195137555982,0.8720560152768937,mutualInformation
15,0.8714103382259094,0.868020304568528,0.8752399232245681,0.8716151640649888,mutualInformation
16,0.8736439055520102,0.87000634115409,0.8777991042866283,0.8738853503184714,mutualInformation
17,0.8742820676451819,0.8720560152768937,0.8765195137555982,0.8742820676451819,mutualInformation
18,0.8736439055520102,0.8709472345835982,0.8765195137555982,0.8737244897959183,mutualInformation
19,0.8733248245054244,0.8685208596713021,0.8790786948176583,0.8737678855325914,mutualInformation
20,0.8717294192724953,0.869980879541109,0.8733205374280231,0.8716475095785441,mutualInformation
21,0.8739629865985961,0.8724489795918368,0.8752399232245681,0.8738422229319707,mutualInformation
22,0.8730057434588385,0.8707829408020369,0.8752399232245681,0.8730057434588385,mutualInformation
23,0.8749202297383536,0.8755612572161642,0.8733205374280231,0.874439461883408,mutualInformation
24,0.875877472878111,0.8743622448979592,0.8771593090211133,0.8757585435962951,mutualInformation
25,0.8771537970644544,0.8775641025641026,0.8758797184900832,0.8767211015049632,mutualInformation
26,0.8761965539246969,0.8883013879709187,0.8598848368522073,0.8738621586475943,mutualInformation
27,0.8755583918315252,0.8891838088918381,0.8573256557901472,0.8729641693811075,mutualInformation
28,0.8803446075303127,0.8807692307692307,0.8790786948176583,0.8799231508165226,mutualInformation
29,0.8771537970644544,0.8875,0.8630838131797824,0.8751216347713267,mutualInformation
30,0.8800255264837269,0.8851395197923426,0.872680742162508,0.8788659793814433,mutualInformation
31,0.8832163369495852,0.8888888888888888,0.8752399232245681,0.8820116054158608,mutualInformation
32,0.8838544990427568,0.8925998690242305,0.872040946896993,0.8822006472491909,mutualInformation
33,0.8806636885768986,0.8893254747871644,0.8688419705694178,0.8789644012944984,mutualInformation
34,0.8844926611359285,0.8922273024167211,0.8739603326935381,0.8829993535875889,mutualInformation
35,0.8876834716017868,0.8934372969460689,0.8797184900831734,0.8865248226950354,mutualInformation
36,0.8915124441608169,0.8999345977763243,0.8803582853486884,0.890038809831824,mutualInformation
37,0.8943841735800894,0.8994811932555123,0.8873960332693538,0.8933977455716586,mutualInformation
38,0.8966177409061902,0.9030579050097592,0.8880358285348688,0.895483870967742,mutualInformation
39,0.8966177409061902,0.9030579050097592,0.8880358285348688,0.895483870967742,mutualInformation
40,0.9001276324186344,0.9084967320261438,0.889315419065899,0.8988037504041384,mutualInformation
41,0.896936821952776,0.9041720990873533,0.8873960332693538,0.8957055214723927,mutualInformation
42,0.9017230376515635,0.9087947882736156,0.8925143953934741,0.9005810200129115,mutualInformation
43,0.9001276324186344,0.9084967320261438,0.889315419065899,0.8988037504041384,mutualInformation
44,0.9001276324186344,0.9090314136125655,0.8886756238003839,0.8987382724037528,mutualInformation
45,0.9014039566049776,0.9108781127129751,0.889315419065899,0.8999676270637746,mutualInformation
46,0.900765794511806,0.9091503267973856,0.889955214331414,0.8994503718073068,mutualInformation
47,0.9004467134652202,0.9107025607353907,0.8873960332693538,0.8988982501620221,mutualInformation
48,0.9010848755583918,0.9092096668843893,0.8905950095969289,0.8998060762766645,mutualInformation
49,0.9042756860242501,0.9114006514657981,0.8950735764555342,0.9031633311814073,mutualInformation
50,0.9023611997447352,0.9110529758011773,0.891234804862444,0.9010349288486417,mutualInformation
51,0.9033184428844927,0.9112271540469974,0.8931541906589892,0.9021001615508886,mutualInformation
52,0.9039566049776643,0.9113428943937418,0.8944337811900192,0.9028091701646755,mutualInformation
53,0.902680280791321,0.9063307493540051,0.8976327575175944,0.9019607843137255,mutualInformation
54,0.9010848755583918,0.9065541855937703,0.8937939859245042,0.9001288659793815,mutualInformation
55,0.9039566049776643,0.908150064683053,0.8982725527831094,0.9031843036346092,mutualInformation
56,0.9023611997447352,0.9099804305283757,0.8925143953934741,0.9011627906976745,mutualInformation
57,0.904594767070836,0.9103896103896104,0.8969929622520794,0.9036416371253626,mutualInformation
58,0.9020421186981493,0.9056847545219638,0.8969929622520794,0.9013179042108647,mutualInformation
59,0.8991703892788768,0.9051332033788174,0.891234804862444,0.8981302385557705,mutualInformation
60,0.9010848755583918,0.9065541855937703,0.8937939859245042,0.9001288659793815,mutualInformation
61,0.9004467134652202,0.9064327485380117,0.8925143953934741,0.8994197292069632,mutualInformation
62,0.8982131461391193,0.9049479166666666,0.889315419065899,0.8970635688931914,mutualInformation
63,0.8994894703254627,0.9051948051948052,0.891874600127959,0.898485336770867,mutualInformation
64,0.898851308232291,0.9055989583333334,0.889955214331414,0.8977089383672152,mutualInformation
65,0.9001276324186344,0.9074315514993481,0.8905950095969289,0.8989344526961576,mutualInformation
66,0.9010848755583918,0.908675799086758,0.891234804862444,0.8998708010335917,mutualInformation
67,0.9001276324186344,0.9106438896189225,0.8867562380038387,0.8985413290113452,mutualInformation
68,0.898851308232291,0.9077225130890052,0.8873960332693538,0.8974441928178583,mutualInformation
69,0.8998085513720485,0.908436886854153,0.8886756238003839,0.8984476067270375,mutualInformation
70,0.9001276324186344,0.9090314136125655,0.8886756238003839,0.8987382724037528,mutualInformation
71,0.898851308232291,0.9125827814569536,0.8816378758797185,0.8968434754311747,mutualInformation
72,0.8994894703254627,0.9132450331125828,0.8822776711452335,0.89749430523918,mutualInformation
73,0.9052329291640077,0.9159001314060446,0.891874600127959,0.9037277147487844,mutualInformation
74,0.904594767070836,0.9146981627296588,0.891874600127959,0.9031422092646583,mutualInformation
75,0.9055520102105935,0.9165023011176857,0.891874600127959,0.9040207522697795,mutualInformation
76,0.9049138481174218,0.9136690647482014,0.8937939859245042,0.9036222509702458,mutualInformation
77,0.9020421186981493,0.9088541666666666,0.8931541906589892,0.9009357857373346,mutualInformation
78,0.9033184428844927,0.9133858267716536,0.8905950095969289,0.901846452866861,mutualInformation
79,0.904594767070836,0.9146981627296588,0.891874600127959,0.9031422092646583,mutualInformation
80,0.9058710912571794,0.9127604166666666,0.8969929622520794,0.9048080025814779,mutualInformation
81,0.9052329291640077,0.9180977542932629,0.889315419065899,0.9034774130646733,mutualInformation
82,0.9055520102105935,0.9176005273566249,0.8905950095969289,0.9038961038961039,mutualInformation
83,0.9033184428844927,0.9144736842105263,0.889315419065899,0.901719104768083,mutualInformation
84,0.9029993618379069,0.9127868852459017,0.8905950095969289,0.9015544041450777,mutualInformation
85,0.904594767070836,0.91688654353562,0.889315419065899,0.9028905488795064,mutualInformation
86,0.9055520102105935,0.9165023011176857,0.891874600127959,0.9040207522697795,mutualInformation
87,0.9071474154435226,0.9211920529801324,0.889955214331414,0.9053042629352425,mutualInformation
88,0.9033184428844927,0.9150197628458498,0.8886756238003839,0.9016553067185978,mutualInformation
89,0.9049138481174218,0.9136690647482014,0.8937939859245042,0.9036222509702458,mutualInformation
90,0.908423739629866,0.919185282522996,0.8950735764555342,0.906969205834684,mutualInformation
91,0.9068283343969368,0.9211398277004639,0.889315419065899,0.9049479166666666,mutualInformation
92,0.9055520102105935,0.9165023011176857,0.891874600127959,0.9040207522697795,mutualInformation
93,0.9077855775366943,0.9207397622192867,0.891874600127959,0.9060773480662984,mutualInformation
94,0.9049138481174218,0.920265780730897,0.8861164427383237,0.9028683181225554,mutualInformation
95,0.9077855775366943,0.9212962962962963,0.891234804862444,0.9060162601626016,mutualInformation
96,0.9049138481174218,0.9208250166333999,0.8854766474728087,0.9028049575994781,mutualInformation
97,0.9259731971920868,0.9421926910299003,0.9072296865003199,0.924380704041721,mutualInformation
98,0.9275686024250159,0.9417989417989417,0.9110684580934101,0.9261788617886179,mutualInformation
99,0.9278876834716018,0.9441860465116279,0.909149072296865,0.9263363754889179,mutualInformation
100,0.9282067645181876,0.944813829787234,0.909149072296865,0.9266384088686013,mutualInformation
1,0.7045309508615188,0.8266666666666667,0.5156749840051184,0.6351457840819543,selectRandom
2,0.7941927249521379,0.7299599198396793,0.9321817018554063,0.8187693172239393,selectRandom
3,0.8892788768347161,0.8819095477386935,0.8982725527831094,0.8900158478605388,selectRandom
4,0.8908742820676452,0.8992805755395683,0.8797184900831734,0.889391979301423,selectRandom
5,0.8956604977664326,0.917004048582996,0.8694817658349329,0.8926108374384236,selectRandom
6,0.8953414167198468,0.9169480081026333,0.8688419705694178,0.8922470433639947,selectRandom
7,0.8947032546266752,0.9145931405514459,0.8701215611004478,0.8918032786885246,selectRandom
8,0.9017230376515635,0.9231287929871881,0.8758797184900832,0.8988837820091924,selectRandom
9,0.9036375239310785,0.935127674258109,0.8669225847728727,0.899734395750332,selectRandom
10,0.9033184428844927,0.9332874828060522,0.8682021753039028,0.8995691083858137,selectRandom
11,0.9033184428844927,0.9251012145748988,0.8771593090211133,0.9004926108374385,selectRandom
12,0.9033184428844927,0.9177718832891246,0.8854766474728087,0.9013350700097688,selectRandom
13,0.9052329291640077,0.93296853625171,0.872680742162508,0.9018181818181819,selectRandom
14,0.9049138481174218,0.9305650102110279,0.8746001279590531,0.9017150395778364,selectRandom
15,0.9061901723037652,0.9313392250169953,0.8765195137555982,0.9030982201713909,selectRandom
16,0.9081046585832802,0.9322033898305084,0.8797184900831734,0.9052007899934167,selectRandom
17,0.9090619017230377,0.927710843373494,0.8867562380038387,0.9067713444553483,selectRandom
18,0.9119336311423102,0.9275747508305647,0.8931541906589892,0.910039113428944,selectRandom
19,0.912252712188896,0.9281914893617021,0.8931541906589892,0.9103358330616237,selectRandom
20,0.9167198468410976,0.9345794392523364,0.8957133717210493,0.914733747141457,selectRandom
21,0.916081684747926,0.929326287978864,0.9001919385796545,0.9145271368215795,selectRandom
22,0.9183152520740268,0.9313531353135314,0.9027511196417146,0.916829109811566,selectRandom
23,0.9164007657945118,0.9333777481678881,0.8963531669865643,0.914490861618799,selectRandom
24,0.9164007657945118,0.9310801855533466,0.8989123480486244,0.9147135416666666,selectRandom
