features,accuracy,precision,recall,f1,method
1,0.7941927249521379,0.7299599198396793,0.9321817018554063,0.8187693172239393,mutualInformation
2,0.8088704530950862,0.887459807073955,0.7063339731285988,0.7866049162807267,mutualInformation
3,0.8133375877472878,0.8693353474320241,0.7364043506078055,0.797367509525459,mutualInformation
4,0.8261008296107212,0.8554469273743017,0.7837492002559181,0.8180300500834724,mutualInformation
5,0.8270580727504786,0.8572428271518544,0.7837492002559181,0.8188502673796791,mutualInformation
6,0.8615188257817485,0.8427443837279903,0.8880358285348688,0.864797507788162,mutualInformation
7,0.8621569878749202,0.8429351121892056,0.889315419065899,0.8655043586550436,mutualInformation
8,0.8602425015954053,0.8431970713849909,0.8841970569417786,0.863210493441599,mutualInformation
9,0.8672622846202935,0.8440311937612478,0.9001919385796545,0.8712074303405573,mutualInformation
10,0.8640714741544352,0.8524488530688159,0.8797184900831734,0.8658690176322418,mutualInformation
11,0.8698149329929802,0.8634361233480177,0.8777991042866283,0.8705583756345178,mutualInformation
12,0.8682195277600511,0.8634639696586599,0.8739603326935381,0.8686804451510334,mutualInformation
13,0.870134014039566,0.8686224489795918,0.8714011516314779,0.8700095816033216,mutualInformation
14,0.8749202297383536,0.8722186904005086,0.8777991042866283,0.875,mutualInformation
15,0.8761965539246969,0.8716002530044276,0.8816378758797185,0.8765903307888041,mutualInformation
16,0.8742820676451819,0.8730057434588385,0.8752399232245681,0.8741214057507988,mutualInformation
17,0.875877472878111,0.8724619289340102,0.8797184900831734,0.8760751831793565,mutualInformation
18,0.8752393107849393,0.8737244897959183,0.8765195137555982,0.8751197700415203,mutualInformation
19,0.8749202297383536,0.8717460317460317,0.8784388995521433,0.8750796685787126,mutualInformation
20,0.8742820676451819,0.874439461883408,0.8733205374280231,0.8738796414852753,mutualInformation
21,0.8736439055520102,0.8681388012618296,0.8803582853486884,0.8742058449809402,mutualInformation
22,0.8793873643905552,0.8771483131763208,0.8816378758797185,0.8793873643905552,mutualInformation
23,0.8787492022973835,0.8765117759388924,0.8809980806142035,0.8787492022973835,mutualInformation
24,0.879706445437141,0.8757921419518377,0.8841970569417786,0.8799745304043298,mutualInformation
25,0.8784301212507977,0.8769132653061225,0.8797184900831734,0.8783136378153944,mutualInformation
26,0.8787492022973835,0.8784388995521433,0.8784388995521433,0.8784388995521433,mutualInformation
27,0.8771537970644544,0.8824675324675325,0.8694817658349329,0.8759265227199484,mutualInformation
28,0.8828972559029994,0.8853092783505154,0.8790786948176583,0.8821829855537721,mutualInformation
29,0.8844926611359285,0.8901884340480831,0.8765195137555982,0.8833010960670535,mutualInformation
30,0.8857689853222719,0.889967637540453,0.8797184900831734,0.8848133848133848,mutualInformation
31,0.8902361199744735,0.8981058131939909,0.8797184900831734,0.8888170652876535,mutualInformation
32,0.8927887683471601,0.8965740142210731,0.8873960332693538,0.8919614147909968,mutualInformation
33,0.8937460114869177,0.900390625,0.8848368522072937,0.8925459825750242,mutualInformation
34,0.8947032546266752,0.9021526418786693,0.8848368522072937,0.8934108527131783,mutualInformation
35,0.8934269304403318,0.9024230517354289,0.8816378758797185,0.8919093851132686,mutualInformation
36,0.896936821952776,0.9062909567496723,0.8848368522072937,0.8954354159922305,mutualInformation
37,0.8998085513720485,0.9068403908794789,0.8905950095969289,0.8986442866365397,mutualInformation
38,0.8972559029993619,0.9052906596995428,0.8867562380038387,0.8959276018099548,mutualInformation
39,0.8972559029993619,0.9016181229773462,0.891234804862444,0.8963963963963963,mutualInformation
