features,accuracy,precision,recall,f1,method
1,0.7941927249521379,0.7299599198396793,0.9321817018554063,0.8187693172239393,mutualInformation
2,0.8088704530950862,0.887459807073955,0.7063339731285988,0.7866049162807267,mutualInformation
3,0.8133375877472878,0.8693353474320241,0.7364043506078055,0.797367509525459,mutualInformation
4,0.8261008296107212,0.8554469273743017,0.7837492002559181,0.8180300500834724,mutualInformation
5,0.8273771537970644,0.8568435754189944,0.7850287907869482,0.8193656093489149,mutualInformation
6,0.8618379068283344,0.8428398058252428,0.8886756238003839,0.8651510432886951,mutualInformation
7,0.8624760689215061,0.8438639125151883,0.8886756238003839,0.8656902461826114,mutualInformation
8,0.8608806636885769,0.8429701765063907,0.8861164427383237,0.8640049906425452,mutualInformation
9,0.8672622846202935,0.8419797257006559,0.9033909149072297,0.8716049382716049,mutualInformation
10,0.8647096362476069,0.8496009821976673,0.8854766474728087,0.8671679197994987,mutualInformation
11,0.8688576898532228,0.8595505617977528,0.8809980806142035,0.8701421800947867,mutualInformation
12,0.8698149329929802,0.8629792583280955,0.8784388995521433,0.8706404565630945,mutualInformation
13,0.8714103382259094,0.8698979591836735,0.872680742162508,0.8712871287128713,mutualInformation
14,0.8736439055520102,0.8695376820772641,0.8784388995521433,0.8739656269891789,mutualInformation
15,0.8736439055520102,0.8718929254302104,0.8752399232245681,0.8735632183908046,mutualInformation
16,0.8736439055520102,0.8690702087286527,0.8790786948176583,0.8740458015267175,mutualInformation
17,0.8726866624122527,0.8707006369426752,0.8746001279590531,0.8726460261729971,mutualInformation
18,0.8771537970644544,0.8713745271122321,0.8841970569417786,0.8777389647507146,mutualInformation
19,0.8768347160178686,0.8746021642266073,0.8790786948176583,0.8768347160178686,mutualInformation
20,0.8755583918315252,0.8757206918641897,0.8746001279590531,0.8751600512163893,mutualInformation
21,0.8730057434588385,0.8689043698543382,0.8777991042866283,0.8733290897517505,mutualInformation
22,0.8787492022973835,0.8760330578512396,0.8816378758797185,0.8788265306122449,mutualInformation
23,0.881620931716656,0.8762626262626263,0.8880358285348688,0.8821099459802987,mutualInformation
24,0.8800255264837269,0.8802049967969251,0.8790786948176583,0.8796414852752881,mutualInformation
25,0.8790682833439694,0.8775510204081632,0.8803582853486884,0.8789524113701693,mutualInformation
26,0.8774728781110402,0.8747616020343293,0.8803582853486884,0.8775510204081632,mutualInformation
27,0.8755583918315252,0.8781431334622823,0.8714011516314779,0.8747591522157996,mutualInformation
28,0.885449904275686,0.8898963730569949,0.8790786948176583,0.884454457676215,mutualInformation
29,0.8867262284620293,0.8871794871794871,0.8854766474728087,0.8863272494396414,mutualInformation
30,0.8844926611359285,0.8912052117263843,0.8752399232245681,0.8831504196255648,mutualInformation
31,0.8867262284620293,0.8973684210526316,0.872680742162508,0.884852416477457,mutualInformation
32,0.8918315252074027,0.8979193758127438,0.8835572616762636,0.890680425669139,mutualInformation
33,0.8905552010210593,0.8981723237597912,0.8803582853486884,0.8891760904684975,mutualInformation
34,0.8934269304403318,0.9045424621461488,0.8790786948176583,0.8916288124594419,mutualInformation
35,0.8943841735800894,0.9031413612565445,0.8829174664107485,0.8929149142672275,mutualInformation
36,0.8972559029993619,0.9052906596995428,0.8867562380038387,0.8959276018099548,mutualInformation
37,0.8991703892788768,0.907782864617397,0.8880358285348688,0.8978007761966365,mutualInformation
38,0.8956604977664326,0.9033942558746736,0.8854766474728087,0.894345718901454,mutualInformation
39,0.8953414167198468,0.9033311561071196,0.8848368522072937,0.8939883645765999,mutualInformation
