features,score
com.android.launcher.permission.UNINSTALL_SHORTCUT,0.2822401763808662
android.permission.WRITE_SYNC_SETTINGS,0.2776930555871566
android.permission.READ_SYNC_SETTINGS,0.2774530360382197
android.permission.MANAGE_ACCOUNTS,0.27560681504737383
android.permission.AUTHENTICATE_ACCOUNTS,0.27494153120658593
com.android.launcher.permission.INSTALL_SHORTCUT,0.2665318079688139
android.permission.READ_LOGS,0.25971158885186285
android.permission.USE_CREDENTIALS,0.2349340030335807
android.permission.GET_ACCOUNTS,0.19459831673955574
android.permission.READ_PHONE_STATE,0.14377619525624863
android.permission.ACCESS_COARSE_LOCATION,0.13680558379587815
android.permission.ACCESS_WIFI_STATE,0.09140731024987536
android.permission.WRITE_EXTERNAL_STORAGE,0.052858684237000686
android.permission.VIBRATE,0.025132860699092374
android.permission.BLUETOOTH_ADMIN,0.022300839323337707
android.permission.ACCESS_FINE_LOCATION,0.018067445916563063
android.permission.BLUETOOTH,0.016723385325023488
android.permission.LOCATION_HARDWARE,0.014808937936114042
android.permission.WAKE_LOCK,0.014565364438203776
android.permission.SET_ALWAYS_FINISH,0.014482509319555303
android.permission.SUBSCRIBED_FEEDS_READ,0.012959578745815659
android.permission.WRITE_PROFILE,0.012947740229500404
android.permission.SIGNAL_PERSISTENT_PROCESSES,0.012722956867710744
android.permission.FORCE_BACK,0.011571351260647678
android.permission.CHANGE_CONFIGURATION,0.011337802129001595
android.permission.RECORD_AUDIO,0.011239657064266106
android.permission.SET_PREFERRED_APPLICATIONS,0.01100708798575556
com.android.email.permission.ACCESS_PROVIDER,0.010786828656887515
android.permission.INTERNAL_SYSTEM_WINDOW,0.009815734965847422
com.android.launcher.permission.WRITE_SETTINGS,0.00949403393953041
android.permission.GET_TASKS,0.009444128286547837
android.permission.RECEIVE_BOOT_COMPLETED,0.009183340468342571
android.permission.EXPAND_STATUS_BAR,0.009112115051084224
android.permission.RESTART_PACKAGES,0.0082864997757226
android.permission.PACKAGE_USAGE_STATS,0.00799337779432241
android.permission.READ_EXTERNAL_STORAGE,0.007980318294277033
android.permission.FORCE_STOP_PACKAGES,0.007596447675147111
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,0.00728445597948757
android.permission.DEVICE_POWER,0.007256425022748925
android.permission.CHANGE_WIFI_STATE,0.006923407693283146
android.permission.INTERACT_ACROSS_USERS_FULL,0.006912855510593063
android.permission.GET_PACKAGE_SIZE,0.006910715828118974
android.permission.CAMERA,0.006891765610902434
android.permission.READ_INPUT_STATE,0.006877390359734115
android.permission.BIND_DEVICE_ADMIN,0.0066002956994217765
android.permission.DISABLE_KEYGUARD,0.006528149376387127
android.permission.WRITE_SETTINGS,0.006406143993270552
android.permission.PROCESS_OUTGOING_CALLS,0.006187768486589418
android.permission.BIND_ACCESSIBILITY_SERVICE,0.005842499803215162
android.permission.RECEIVE_MMS,0.0057768349823819065
android.permission.BIND_WALLPAPER,0.00575378293202311
android.permission.UPDATE_APP_OPS_STATS,0.005631047589931271
android.permission.MASTER_CLEAR,0.0055448199446872515
android.permission.REORDER_TASKS,0.005542924360089518
android.permission.READ_SOCIAL_STREAM,0.005507905787353273
android.permission.CHANGE_COMPONENT_ENABLED_STATE,0.005484556048827693
android.permission.INSTALL_LOCATION_PROVIDER,0.0054272303160123325
android.permission.BIND_NFC_SERVICE,0.0049633985883765774
android.permission.MODIFY_PHONE_STATE,0.004818386572299049
android.permission.CLEAR_APP_USER_DATA,0.004717245093540434
android.permission.WRITE_SOCIAL_STREAM,0.004628101932406148
android.permission.NFC,0.004464160120971616
android.permission.BROADCAST_WAP_PUSH,0.0044612238066490395
com.android.email.permission.READ_ATTACHMENT,0.004435717573324061
com.android.browser.permission.READ_HISTORY_BOOKMARKS,0.004434307375768443
android.permission.BACKUP,0.00398297827190941
android.permission.USE_SIP,0.003876938631633964
com.android.launcher.permission.READ_SETTINGS,0.0037526167872861116
android.permission.BIND_INPUT_METHOD,0.003685349985709463
android.permission.SET_PROCESS_LIMIT,0.003562187463247879
android.permission.SET_DEBUG_APP,0.003391979397125322
android.permission.WRITE_APN_SETTINGS,0.0033608987547482094
android.permission.ACCESS_NETWORK_STATE,0.0032595761838374315
android.permission.UPDATE_DEVICE_STATS,0.003253438770531636
android.permission.ACCESS_SURFACE_FLINGER,0.0032422293025773374
android.permission.CONTROL_LOCATION_UPDATES,0.0030963480626833295
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,0.0029274475865157523
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,0.002762250468791194
android.permission.WRITE_SMS,0.0026749175410458736
android.permission.SET_POINTER_SPEED,0.002519743350703374
android.permission.GLOBAL_SEARCH,0.0024984950035109588
android.permission.READ_SYNC_STATS,0.00239524965065252
android.permission.PERSISTENT_ACTIVITY,0.0023442776237785345
android.permission.MEDIA_CONTENT_CONTROL,0.002252632230735019
android.permission.BROADCAST_PACKAGE_REMOVED,0.0021445906398636083
com.android.launcher3.permission.WRITE_SETTINGS,0.0019789536497785143
android.permission.STOP_APP_SWITCHES,0.001866581057154315
android.permission.MOUNT_FORMAT_FILESYSTEMS,0.0017900586880135183
android.permission.ACCOUNT_MANAGER,0.0015753842509902416
android.permission.FLASHLIGHT,0.0014207237782224436
android.permission.CAPTURE_VIDEO_OUTPUT,0.00137452551039563
android.permission.READ_FRAME_BUFFER,0.0012467141738443654
android.permission.BIND_VPN_SERVICE,0.0010910768921525982
android.permission.BIND_APPWIDGET,0.0010600087570193928
android.permission.SUBSCRIBED_FEEDS_WRITE,0.0007003065929542807
android.permission.WRITE_CONTACTS,0.0005174238544087828
android.permission.INTERNET,0.0003760811300372868
android.permission.MODIFY_AUDIO_SETTINGS,0.0003219993907737084
android.permission.SET_TIME_ZONE,0.00019375879451133393
com.android.alarm.permission.SET_ALARM,9.417715418957862e-05
android.permission.READ_CALENDAR,0.0
android.permission.WRITE_CALL_LOG,0.0
android.permission.BIND_TEXT_SERVICE,0.0
android.permission.CHANGE_WIFI_MULTICAST_STATE,0.0
android.permission.SET_ACTIVITY_WATCHER,0.0
android.permission.ACCESS_DRM,0.0
android.permission.BROADCAST_STICKY,0.0
android.permission.WRITE_GSERVICES,0.0
android.permission.MANAGE_DOCUMENTS,0.0
android.permission.WRITE_SECURE_SETTINGS,0.0
android.permission.CALL_PRIVILEGED,0.0
android.permission.SET_ORIENTATION,0.0
android.permission.BLUETOOTH_PRIVILEGED,0.0
android.permission.SET_WALLPAPER,0.0
android.permission.READ_CALL_LOG,0.0
android.permission.INJECT_EVENTS,0.0
android.permission.BODY_SENSORS,0.0
android.permission.BIND_TV_INPUT,0.0
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,0.0
android.permission.INSTALL_PACKAGES,0.0
android.permission.HARDWARE_TEST,0.0
android.permission.WRITE_MEDIA_STORAGE,0.0
android.permission.BATTERY_STATS,0.0
android.permission.CLEAR_APP_CACHE,0.0
android.permission.GET_TOP_ACTIVITY_INFO,0.0
android.permission.READ_SMS,0.0
android.permission.BIND_DREAM_SERVICE,0.0
com.android.gallery3d.filtershow.permission.READ,0.0
android.permission.READ_USER_DICTIONARY,0.0
android.permission.RECEIVE_SMS,0.0
android.permission.STATUS_BAR,0.0
android.permission.SEND_RESPOND_VIA_MESSAGE,0.0
android.permission.ACCESS_CHECKIN_PROPERTIES,0.0
android.permission.DELETE_PACKAGES,0.0
android.permission.WRITE_USER_DICTIONARY,0.0
android.permission.CAPTURE_AUDIO_OUTPUT,0.0
android.permission.ACCESS_MOCK_LOCATION,0.0
android.permission.SEND_SMS,0.0
android.permission.SYSTEM_ALERT_WINDOW,0.0
android.permission.READ_CONTACTS,0.0
android.permission.WRITE_CALENDAR,0.0
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,0.0
android.permission.MANAGE_APP_TOKENS,0.0
android.permission.FACTORY_TEST,0.0
android.permission.BIND_REMOTEVIEWS,0.0
android.permission.BIND_VOICE_INTERACTION,0.0
com.android.launcher3.permission.READ_SETTINGS,0.0
android.permission.DIAGNOSTIC,0.0
android.permission.REBOOT,0.0
android.permission.CALL_PHONE,0.0
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,0.0
android.permission.BRICK,0.0
android.permission.DUMP,0.0
android.permission.CHANGE_NETWORK_STATE,0.0
android.permission.READ_PROFILE,0.0
android.permission.BIND_PRINT_SERVICE,0.0
android.permission.SET_ANIMATION_SCALE,0.0
android.permission.DELETE_CACHE_FILES,0.0
android.permission.ACCESS_DOWNLOAD_MANAGER,0.0
android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,0.0
android.permission.ACCESS_ALL_DOWNLOADS,0.0
android.permission.KILL_BACKGROUND_PROCESSES,0.0
android.permission.BROADCAST_SMS,0.0
android.permission.SET_WALLPAPER_HINTS,0.0
android.permission.MMS_SEND_OUTBOX_MSG,0.0
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.0
