features,score
READ_PHONE_STATE,0.2463845282274657
NrServices,0.1686284977400503
NrIntReceiversActions,0.1627338457245162
ACCESS_WIFI_STATE,0.15315361173160857
SEND_SMS,0.14947333092044413
SYS_333,0.1383547862670078
SYS_336,0.13301389763827398
uname,0.13231312137928097
getpriority,0.13139039402237485
RECEIVE_BOOT_COMPLETED,0.11658355351555483
WRITE_EXTERNAL_STORAGE,0.1129859095866359
RECEIVE_SMS,0.1126420663641925
setrlimit,0.11128867917137919
setsockopt,0.10922121052479916
socketpair,0.10655397437733272
getrlimit,0.10561249322243982
READ_SMS,0.10461306561426675
GET_TASKS,0.09649239290448919
fsync,0.08807415066323476
fstatfs64,0.08040896763109284
WAKE_LOCK,0.07993219699441045
wait4,0.07776066285201333
SYS_339,0.07667402722965044
CHANGE_WIFI_STATE,0.07660966819731185
SYSTEM_ALERT_WINDOW,0.0761535488482823
ACCESS_NETWORK_STATE,0.07519243375483176
flock,0.07460396469064956
ACCESS_COARSE_LOCATION,0.0730904604732423
GET_ACCOUNTS,0.07143729428451562
SYS_315,0.07001845204771495
SYS_311,0.06941111700254132
recv,0.06833855869051231
MOUNT_UNMOUNT_FILESYSTEMS,0.06819082091643991
SYS_312,0.06691412677502351
ACCESS_FINE_LOCATION,0.06676408506047515
CHANGE_NETWORK_STATE,0.06392105413944638
sigaltstack,0.05633326628491675
CHANGE_CONFIGURATION,0.05159680660318977
WRITE_SETTINGS,0.04915418890661849
WRITE_APN_SETTINGS,0.04610840655808035
BROADCAST_SMS,0.045715279533381725
NrIntServicesActions,0.045173267763859215
VIBRATE,0.043692001909831246
NrIntReceivers,0.042705049313580545
SYS_316,0.04239892975088799
NrIntServices,0.042360132460773636
RECEIVE_MMS,0.04223434289479355
INTERNET,0.04123126393419074
RECEIVE_WAP_PUSH,0.040689496028310845
dup,0.038033596423126204
ACCESS_LOCATION_EXTRA_COMMANDS,0.03770918582702021
CALL_PHONE,0.03767870090532788
SYS_317,0.03627212914561273
READ_EXTERNAL_STORAGE,0.035922810336135536
SYS_329,0.03563299615493265
DISABLE_KEYGUARD,0.03370292543533493
getdents64,0.033058756729268834
BROADCAST_STICKY,0.03274174784485173
WRITE_SECURE_SETTINGS,0.030997441405281823
sendmsg,0.03023475534768738
_llseek,0.029971705050839903
SYS_310,0.029682117312918255
SYS_340,0.02925083251508842
fdatasync,0.028473256967374905
sched_yield,0.028021311590207487
RESTART_PACKAGES,0.025916833890458735
getsockopt,0.024647214654207827
vfork,0.023717128855376357
lseek,0.023713501682295135
epoll_ctl,0.023399845151329757
socket,0.022774813385021853
pread,0.021206768209789173
getpid,0.021145589587371116
SYS_306,0.020231229432939646
connect,0.01991442390173903
BIND_DEVICE_ADMIN,0.019885330901945997
READ_LOGS,0.019121513615850017
clone,0.01799264924540589
munmap,0.017488149762854954
fchmod,0.01716092224463539
prctl,0.016387903639000445
SYS_342,0.016308638948068888
mprotect,0.016152780802327404
rt_sigprocmask,0.015259322907953177
NrIntActivitiesActions,0.014985733997477935
madvise,0.014613493395566168
futex,0.014154805482257116
rt_sigreturn,0.013971143430131283
close,0.013704275235573826
fcntl64,0.01357891942134648
recvfrom,0.013339758217425501
fstat64,0.013144327071880069
mmap2,0.013140278138342065
KILL_BACKGROUND_PROCESSES,0.012645118012428291
writev,0.012382715962279578
NrIntActivities,0.012175068329208116
READ_CALL_LOG,0.012064146227035888
SYS_305,0.011619342107851427
SYS_359,0.011148022582555539
clock_gettime,0.011086902846103142
gettimeofday,0.010127428986198783
read,0.009274578866850236
kill,0.009024292203915874
SYS_301,0.00870748484042383
getuid32,0.008627539997461575
PROCESS_OUTGOING_CALLS,0.00854842230038444
FilesInsideAPK,0.008182361660000748
WRITE_CALL_LOG,0.008066548210048818
ioctl,0.007802150124165852
FOREGROUND_SERVICE,0.007482827485421062
BROADCAST_WAP_PUSH,0.007327122138842679
Activities,0.006917436469643379
CAMERA,0.006713330934555728
SEND_RESPOND_VIA_MESSAGE,0.0060230062821127195
sigaction,0.005944704149437596
tgkill,0.005684556824324893
DELETE_PACKAGES,0.005306185630536975
statfs64,0.005282267839386456
SYS_331,0.00527907474212963
READ_CONTACTS,0.0051787440990782585
USE_SIP,0.004711439842509435
CLEAR_APP_CACHE,0.00460811533383132
BLUETOOTH_ADMIN,0.004399598344891231
sysinfo,0.004327714326052945
sched_getparam,0.004207896694730318
listen,0.004121044992976497
pwrite,0.00399608725667977
BIND_WALLPAPER,0.0038444827834325235
SYS_341,0.003801854439238417
USE_BIOMETRIC,0.0036416650420934005
ACCESS_BACKGROUND_LOCATION,0.0035720459569976715
GET_PACKAGE_SIZE,0.003487947106713518
write,0.0033674876971390155
getsockname,0.003228968864522175
MOUNT_FORMAT_FILESYSTEMS,0.00298981625117678
ACCOUNT_MANAGER,0.002878076978963362
SET_ALARM,0.0028192969523876954
USE_FULL_SCREEN_INTENT,0.0028174741853366214
REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,0.0026742914251132177
fchown32,0.0025945406951981553
truncate,0.0025074555011386224
BIND_REMOTEVIEWS,0.00248382291958138
QUERY_ALL_PACKAGES,0.0023820553226021612
DELETE_CACHE_FILES,0.0023773007474150454
timer_create,0.0023654943853665955
BIND_TELECOM_CONNECTION_SERVICE,0.0022706690110454453
INSTALL_PACKAGES,0.002268457563441073
gettid,0.0022472791361816125
syscall_983042,0.0022139074567810724
SYS_346,0.0022086820665179197
pipe,0.0021472129894173353
GLOBAL_SEARCH,0.0021334235266350365
SET_ALWAYS_FINISH,0.0019987698435857126
FACTORY_TEST,0.0019084581250137234
REQUEST_PASSWORD_COMPLEXITY,0.0018812967305354977
sched_getaffinity,0.0018729055690283047
shutdown,0.001839970721246642
SET_PROCESS_LIMIT,0.0017799101099600367
mlock,0.0017070937158651933
BIND_NFC_SERVICE,0.0017044590952828287
CHANGE_WIFI_MULTICAST_STATE,0.0017043175127042787
READ_CALENDAR,0.0016777961268852337
umask,0.0016017375594425953
REORDER_TASKS,0.0015678504822409511
SET_TIME,0.0015429553556760567
READ_PRECISE_PHONE_STATE,0.0015323726668290405
BIND_MIDI_DEVICE_SERVICE,0.0015268765747884494
rt_sigsuspend,0.001450321946365296
getppid,0.0014453646873424653
