Característica,Score
Your accounts : read Google service configuration (S),0.4162648960577256
System tools : write sync settings (D),0.4078692498902821
Default : Audio File Access (S),0.4064952691768351
Default : Read Google settings (S),0.4010096295715022
Your messages : Send Gmail (S),0.39137300509846806
System tools : read sync settings (S),0.3882725914532989
Your accounts : manage the accounts list (D),0.37283275957489864
Your accounts : act as an account authenticator (D),0.3565601543692931
Your messages : read SMS or MMS (D),0.3447520010509417
System tools : read sync statistics (S),0.3406330126735233
Your messages : edit SMS or MMS (D),0.33071560924619553
System tools : write subscribed feeds (D),0.3299837251165304
Your accounts : contacts data in Google accounts (D),0.3254528400944574
System tools : read subscribed feeds (S),0.3186846431730316
Your messages : receive SMS (D),0.3166617316476447
Your accounts : access all Google services (S),0.306717600850907
Your accounts : Google Docs (D),0.3063421777210471
Your accounts : Google Spreadsheets (D),0.3063421777210471
Your accounts : view configured accounts (S),0.28681416329202997
Your personal information : read contact data (D),0.28173586974225323
Your personal information : set alarm in alarm clock (S),0.2668322390073613
Your accounts : use the authentication credentials of an account (D),0.26301906129923924
Services that cost you money : send SMS messages (D),0.24504689105803756
Services that cost you money : directly call phone numbers (D),0.24093937802021234
Your accounts : discover known accounts (S),0.2355061985372493
Hardware controls : change your audio settings (D),0.2326065408864717
System tools : disable keylock (D),0.22424921228628844
System tools : change Wi-Fi state (D),0.22250629011877573
Phone calls : read phone state and identity (D),0.22136607375067577
Your accounts : act as the AccountManagerService (S),0.21932628240797045
Your messages : receive MMS (D),0.21910724323496336
Your personal information : write contact data (D),0.21570984254545725
Network communication : create Bluetooth connections (D),0.213379685445806
System tools : automatically start at boot (S),0.21138049370191614
Phone calls : modify phone state (S),0.20942677036350751
System tools : prevent device from sleeping (D),0.2034468155783755
Network communication : view Wi-Fi state (S),0.20184880247025397
Default : Modify Google settings (S),0.19133681050727624
Default : Voice Search Shortcuts (S),0.19133681050727622
Phone calls : intercept outgoing calls (D),0.18691076405650067
Your accounts : access other Google services (D),0.1787367047600178
Hardware controls : record audio (D),0.17718258128483858
System tools : change network connectivity (D),0.1770593095142183
Your location : fine (GPS) location (D),0.1748946713179299
Storage : modify/delete USB storage contents modify/delete SD card contents (D),0.17374279762943934
System tools : retrieve running applications (D),0.17317908150641528
Hardware controls : control vibrator (S),0.16970566378645868
Your personal information : read sensitive log data (D),0.16030060848659933
System tools : kill background processes (S),0.1600993188468656
Your messages : modify Gmail (D),0.15955663562643183
Default : power device on or off (S),0.15928859187524536
System tools : modify global system settings (D),0.15710740367931325
Network communication : view network state (S),0.15383795851883653
Your location : coarse (network-based) location (D),0.15202293265806835
System tools : bluetooth administration (D),0.1502462021502554
Your location : access extra location provider commands (S),0.14318478628873207
System tools : write Access Point Name settings (D),0.13372104604324944
System tools : send sticky broadcast (S),0.12872858700971576
Your accounts : Google Maps (D),0.12854328811966018
Network communication : full Internet access (D),0.12650883067884644
Your messages : read Gmail (D),0.12596967438856177
Default : modify secure system settings (S),0.12429500715052884
Your location : mock location sources for testing (D),0.12391867359211915
Your accounts : Google mail (D),0.12356538573943289
Your accounts : Picasa Web Albums (D),0.1187656245749011
Default : modify battery statistics (S),0.11156358418252071
Hardware controls : take pictures and videos (D),0.11092167435508198
Network communication : receive data from Internet (S),0.11042575099707581
Default : Install DRM content. (S),0.10988420042051883
Your personal information : choose widgets (S),0.10434506264980899
System tools : measure application storage space (S),0.10129660727200003
System tools : display system-level alerts (D),0.09984594313963661
Your accounts : YouTube (D),0.09974985952557153
Your accounts : YouTube usernames (D),0.09953846002866168
Your messages : receive WAP (D),0.09879010533455224
Your personal information : write Browser's history and bookmarks (D),0.09874725034249336
Your personal information : read Browser's history and bookmarks (D),0.09673237683340456
Your personal information : add or modify calendar events and send email to guests (D),0.09421228881539852
System tools : make application always run (D),0.09231962927556242
Hardware controls : control flashlight (S),0.08818446199626871
System tools : delete all application cache data (D),0.08637550396567417
System tools : format external storage (D),0.08624205667861513
System tools : expand/collapse status bar (S),0.0851345637787383
Your personal information : read calendar events (D),0.08384615867701495
Default : directly call any phone numbers (S),0.07950299341746651
Your messages : send SMS-received broadcast (S),0.07903112377228749
System tools : set preferred applications (S),0.0780446338658971
Your messages : read instant messages (D),0.07698816655736829
Default : directly install applications (S),0.07209476793022303
Your personal information : read user defined dictionary (D),0.07178047939996925
Your accounts : Google Voice (D),0.07145930825378417
