Característica,Score
madvise,0.4989562641211036
prctl,0.49707678703821284
SYS_305,0.4933469802212709
mprotect,0.49246558808671553
mmap2,0.49227700493488774
fstat64,0.48998569741360853
clone,0.4889161825033268
close,0.4888717763610855
futex,0.46946550734246767
SET_TIME_ZONE,0.4398506391317425
gettimeofday,0.43800065104322644
TRANSMIT_IR,0.43506267850825003
fcntl64,0.4325597242171492
pread,0.42904656455202256
BODY_SENSORS,0.4276303711897938
USE_SIP,0.426914438587201
munmap,0.4242693289149986
RECEIVE_MMS,0.42110008580611197
PERSISTENT_ACTIVITY,0.3987504311769449
CHANGE_CONFIGURATION,0.3914814572477121
BROADCAST_STICKY,0.391086102013384
CHANGE_NETWORK_STATE,0.3892072858914792
SYS_317,0.3810669209297877
SYS_333,0.38070294616643663
write,0.38002954384790416
uname,0.3798531409137
SYS_336,0.37779409100102734
socketpair,0.3772662052530877
setrlimit,0.37677458571458916
getpriority,0.3758917543472809
BROADCAST_SMS,0.3757759833721411
REORDER_TASKS,0.3738788671042225
setsockopt,0.3699222144089598
WRITE_SECURE_SETTINGS,0.3673493374085767
READ_SYNC_STATS,0.36690481783745404
wait4,0.3613096050302062
vfork,0.35771503758528156
flock,0.3575971294134821
ACCESS_LOCATION_EXTRA_COMMANDS,0.3546319678358103
RECEIVE_WAP_PUSH,0.35297674648918176
MOUNT_UNMOUNT_FILESYSTEMS,0.35293265289980486
rt_sigprocmask,0.35262605400118346
WRITE_APN_SETTINGS,0.3523149040367548
getpid,0.35118402789138536
WRITE_SETTINGS,0.3498887366146463
CHANGE_WIFI_STATE,0.3487452558375654
ioctl,0.3410239975957752
WRITE_CALL_LOG,0.33942134289592457
writev,0.3389411821042023
SYS_342,0.3386314494832088
EXPAND_STATUS_BAR,0.337054212694418
WRITE_SYNC_SETTINGS,0.3358355296099828
SET_WALLPAPER_HINTS,0.33453860987348844
READ_SYNC_SETTINGS,0.3344718512814075
recv,0.331220186648114
READ_SMS,0.33112616252053156
dup,0.32900713490007466
SYS_310,0.32782834491296314
BATTERY_STATS,0.32651484814543974
CHANGE_WIFI_MULTICAST_STATE,0.32537653806937583
NFC,0.32017568583400524
GET_PACKAGE_SIZE,0.3197444113598003
getsockopt,0.3192091159991284
lseek,0.31405700109519574
getdents64,0.312049293810586
CLEAR_APP_CACHE,0.31196966218493133
getuid32,0.3084328514564119
RECEIVE_SMS,0.30779151202176613
READ_EXTERNAL_STORAGE,0.30632370323988506
NrIntServicesActions,0.30366325612501927
NrIntServices,0.3036506195615995
NrIntReceivers,0.3036506195615995
GET_TASKS,0.3014115769835253
read,0.3003151088337483
WRITE_CALENDAR,0.2982064865442808
SYS_315,0.29730760920904736
SYS_359,0.2967161124140389
SYS_316,0.29295363594840923
READ_CALENDAR,0.2926912915787425
DISABLE_KEYGUARD,0.2920495518910882
SYS_339,0.2913831595341683
getrlimit,0.29034629290853115
SYS_306,0.28803318651070975
epoll_ctl,0.2858298239849766
sysinfo,0.28241298609822024
READ_CALL_LOG,0.27993099210980643
rt_sigreturn,0.2795835095721959
GET_ACCOUNTS,0.278845695401485
SYS_311,0.27505283666608743
BLUETOOTH_ADMIN,0.2734474137922822
