Network communication : view network state (S),Storage : modify/delete USB storage contents modify/delete SD card contents (D),Your location : fine (GPS) location (D),Hardware controls : control vibrator (S),Phone calls : read phone state and identity (D),Your location : coarse (network-based) location (D),System tools : prevent device from sleeping (D),Network communication : view Wi-Fi state (S),Network communication : full Internet access (D),System tools : automatically start at boot (S),Your personal information : read contact data (D),Hardware controls : take pictures and videos (D),Services that cost you money : directly call phone numbers (D),System tools : retrieve running applications (D),Your accounts : discover known accounts (S),System tools : set wallpaper (S),Hardware controls : record audio (D),Services that cost you money : send SMS messages (D),System tools : modify global system settings (D),Network communication : receive data from Internet (S),System tools : kill background processes (S),Your location : mock location sources for testing (D),Hardware controls : change your audio settings (D),Your personal information : read sensitive log data (D),Your personal information : write contact data (D),System tools : change Wi-Fi state (D),System tools : mount and unmount filesystems (D),Your messages : receive SMS (D),System tools : disable keylock (D),Your personal information : read Browser's history and bookmarks (D),System tools : change network connectivity (D),Hardware controls : control flashlight (S),Your location : access extra location provider commands (S),Network communication : create Bluetooth connections (D),Your messages : read SMS or MMS (D),class
1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
