metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model
autocraft,adroit,5208,432,848,4792,0.8865248226950354,0.9173047473200612,0.849645390070922,0.882179675994109,0.8865248226950355,0.7751611027669595,17.78846502304077,svm
autocraft,adroit,5172,468,737,4903,0.8931737588652482,0.9128653881958668,0.8693262411347518,0.8905639814730724,0.8931737588652483,0.7872434446903167,17.78846502304077,rf
autocraft,adroit,4939,701,839,4801,0.8634751773049646,0.8725917848055252,0.8512411347517731,0.861784239813319,0.8634751773049646,0.7271680603001027,17.78846502304077,knn
autocraft,androcrawl,56517,4076,4107,56486,0.9324756985130296,0.9326970707704502,0.9322198933870248,0.9324584210309108,0.9324756985130296,0.8649515102244547,121.23386240005492,svm
autocraft,androcrawl,56529,4064,3982,56611,0.933606192134405,0.9330201895344046,0.9342828379515784,0.9336510868489626,0.9336061921344048,0.867213178375521,121.23386240005492,rf
autocraft,androcrawl,59784,809,14861,45732,0.8706946346937765,0.9826174770632344,0.7547406466093444,0.8537345753915657,0.8706946346937765,0.7621676910709285,121.23386240005492,knn
autocraft,android_permissions,8078,4372,4686,7764,0.6362248995983936,0.6397495056031641,0.6236144578313253,0.631578947368421,0.6362248995983936,0.2725364922580767,43.488632917404175,svm
autocraft,android_permissions,8305,4145,4708,7742,0.6444578313253012,0.6512997392109027,0.6218473895582329,0.6362328964128693,0.6444578313253013,0.2892115223955153,43.488632917404175,rf
autocraft,android_permissions,8319,4131,5600,6850,0.6091967871485944,0.6238047536654221,0.5502008032128514,0.58469548888225,0.6091967871485944,0.219929883612733,43.488632917404175,knn
autocraft,defensedroid_apicalls_closeness,3485,193,471,3207,0.9097335508428492,0.9432352941176472,0.8719412724306689,0.9061881887538852,0.9097335508428496,0.821817997654746,45.23032879829407,svm
autocraft,defensedroid_apicalls_closeness,3534,144,339,3339,0.9343393148450244,0.958656330749354,0.9078303425774876,0.9325513196480938,0.9343393148450244,0.8699020950174021,45.23032879829407,rf
autocraft,defensedroid_apicalls_closeness,3432,246,421,3257,0.909325720500272,0.9297744790179846,0.8855356171832518,0.9071160005570256,0.909325720500272,0.8195796800626096,45.23032879829407,knn
